from,to,connectivite,similarite
DEM,ECOLO,0.910714285714286,0.0178571428571429
DEM,GDR-NUPES,0.964285714285714,0.0297619047619048
DEM,HOR,0.988505747126437,0.950191570881226
DEM,LFI-NUPES,0.976038338658147,0
DEM,LIOT,1,0.0208333333333333
DEM,LR,0.93421052631579,0.464912280701754
DEM,NI,0.916666666666667,0.0416666666666667
DEM,RE,0.977777777777778,0.961002178649237
DEM,RN,0.971238938053097,0.0516224188790561
DEM,SOC,1,0
ECOLO,GDR-NUPES,0.875,1
ECOLO,HOR,0.954545454545455,0
ECOLO,LFI-NUPES,0.924242424242424,0.803030303030303
ECOLO,LIOT,1,0.75
ECOLO,LR,0.8,0
ECOLO,NI,0.75,0.75
ECOLO,RE,0.926315789473684,0
ECOLO,RN,0.908333333333333,0.783333333333333
ECOLO,SOC,1,1
GDR-NUPES,HOR,1,0
GDR-NUPES,LFI-NUPES,0.924242424242424,0.803030303030303
GDR-NUPES,LIOT,1,0.833333333333333
GDR-NUPES,LR,0.916666666666667,0
GDR-NUPES,NI,1,0.5
GDR-NUPES,RE,0.968421052631579,0
GDR-NUPES,RN,0.966666666666667,0.838888888888889
GDR-NUPES,SOC,1,1
HOR,LFI-NUPES,0.981481481481481,0
HOR,LIOT,1,0
HOR,LR,0.970588235294118,0.313725490196078
HOR,NI,1,0
HOR,RE,0.990196078431373,1
HOR,RN,0.988636363636364,0.0303030303030303
HOR,SOC,1,0
LFI-NUPES,LIOT,1,0.0769230769230769
LFI-NUPES,LR,0.95,0.05
LFI-NUPES,NI,0.642857142857143,0.428571428571429
LFI-NUPES,RE,0.983673469387755,0
LFI-NUPES,RN,0.972993827160494,0.0987654320987654
LFI-NUPES,SOC,1,1
LIOT,LR,1,0
LIOT,NI,1,0.5
LIOT,RE,1,0
LIOT,RN,1,0.973118279569892
LIOT,SOC,1,0
LR,NI,0.833333333333333,0.833333333333333
LR,RE,0.964285714285714,0.420238095238095
LR,RN,0.946428571428571,0.0277777777777778
LR,SOC,1,0
NI,RE,0.925,0
NI,RN,0.931034482758621,0.568965517241379
RE,RN,0.977564102564103,0.0370726495726496
RE,SOC,1,0
RN,SOC,1,0
