from,to,connectivite,similarite
DEM,GDR-NUPES,1,1
DEM,HOR,1,0
DEM,LFI-NUPES,1,1
DEM,LIOT,1,1
DEM,LR,1,0
DEM,NI,1,0
DEM,RN,1,1
DEM,SOC,1,1
GDR-NUPES,HOR,1,0
GDR-NUPES,LFI-NUPES,1,1
GDR-NUPES,LIOT,1,1
GDR-NUPES,LR,1,0
GDR-NUPES,NI,1,0
GDR-NUPES,RN,1,1
GDR-NUPES,SOC,1,1
HOR,LFI-NUPES,1,0
HOR,LIOT,1,0
HOR,LR,1,1
HOR,NI,1,1
HOR,RN,1,0
HOR,SOC,1,0
LFI-NUPES,LIOT,1,1
LFI-NUPES,LR,1,0
LFI-NUPES,NI,1,0
LFI-NUPES,RN,1,1
LFI-NUPES,SOC,1,1
LIOT,LR,1,0
LIOT,NI,1,0
LIOT,RN,1,1
LIOT,SOC,1,1
LR,NI,1,1
LR,RN,1,0
LR,SOC,1,0
NI,RN,1,0
NI,SOC,1,0
RN,SOC,1,1
