from,to,connectivite,similarite
DEM,ECOLO,1,0
DEM,GDR-NUPES,1,0
DEM,HOR,1,1
DEM,LFI-NUPES,1,0
DEM,LIOT,1,0
DEM,LR,1,1
DEM,RE,1,1
DEM,RN,1,1
DEM,SOC,1,1
ECOLO,GDR-NUPES,1,0
ECOLO,HOR,1,0
ECOLO,LFI-NUPES,1,0
ECOLO,LIOT,1,0.5
ECOLO,LR,1,0
ECOLO,RE,1,0
ECOLO,RN,1,0
ECOLO,SOC,1,0
GDR-NUPES,HOR,1,0
GDR-NUPES,LFI-NUPES,1,1
GDR-NUPES,LIOT,1,0.5
GDR-NUPES,LR,1,0
GDR-NUPES,RE,1,0
GDR-NUPES,RN,1,0
GDR-NUPES,SOC,1,0
HOR,LFI-NUPES,1,0
HOR,LIOT,1,0
HOR,LR,1,1
HOR,RE,1,1
HOR,RN,1,1
HOR,SOC,1,1
LFI-NUPES,LIOT,1,0.5
LFI-NUPES,LR,1,0
LFI-NUPES,RE,1,0
LFI-NUPES,RN,1,0
LFI-NUPES,SOC,1,0
LIOT,LR,1,0
LIOT,RE,1,0
LIOT,RN,1,0
LIOT,SOC,1,0
LR,RE,1,1
LR,RN,1,1
LR,SOC,1,1
RE,RN,1,1
RE,SOC,1,1
RN,SOC,1,1
