from,to,connectivite,similarite
DEM,ECOLO,0.723990540980602,0.159044108582603
DEM,GDR-NUPES,0.729913793490001,0.119440802680018
DEM,HOR,0.761714739142998,0.935412638126111
DEM,LFI-NUPES,0.754398029495877,0.141085623420683
DEM,LIOT,0.715037637117163,0.448620640998986
DEM,LR,0.732481025507298,0.679922429244251
DEM,NI,0.751891601327203,0.343867528893186
DEM,RE,0.798404310478055,0.97884541722088
DEM,RN,0.769378601902354,0.163746485554954
DEM,SOC,0.763076646719839,0.152712946160624
ECOLO,GDR-NUPES,0.673594249686025,0.916031020966658
ECOLO,HOR,0.729467548232033,0.19181073530732
ECOLO,LFI-NUPES,0.720625342406144,0.92970792283241
ECOLO,LIOT,0.659736587201595,0.403920479478877
ECOLO,LR,0.669077645037712,0.181944556801518
ECOLO,NI,0.666298437181025,0.30505242093354
ECOLO,RE,0.77354717676059,0.151984304231434
ECOLO,RN,0.712075895969856,0.393724795917646
ECOLO,SOC,0.714578612159158,0.908156691949469
GDR-NUPES,HOR,0.730366340908869,0.130722802561558
GDR-NUPES,LFI-NUPES,0.708031557259405,0.9309502406704
GDR-NUPES,LIOT,0.562946906177992,0.350156002970327
GDR-NUPES,LR,0.582901357218688,0.12730223983004
GDR-NUPES,NI,0.607554362480984,0.368538012844886
GDR-NUPES,RE,0.758519447981059,0.106143954446693
GDR-NUPES,RN,0.620141470300257,0.321870888199555
GDR-NUPES,SOC,0.675869530255231,0.951180118688875
HOR,LFI-NUPES,0.74022812655497,0.172001403525496
HOR,LIOT,0.738744793017132,0.476115579282461
HOR,LR,0.749195397744708,0.68053849990343
HOR,NI,0.768700594305935,0.406193377325349
HOR,RE,0.790826151848771,0.947314815716132
HOR,RN,0.762399999259806,0.173712773970905
HOR,SOC,0.764466645808092,0.180707596366593
LFI-NUPES,LIOT,0.680676644993268,0.441080524088167
LFI-NUPES,LR,0.686126178436207,0.186645556016645
LFI-NUPES,NI,0.723210723470587,0.38358218014491
LFI-NUPES,RE,0.779669918208406,0.130756393883421
LFI-NUPES,RN,0.714430976124721,0.403405075095578
LFI-NUPES,SOC,0.746326157512066,0.923083876210275
LIOT,LR,0.597564036199671,0.499431551663213
LIOT,NI,0.622360866546805,0.54722626991234
LIOT,RE,0.761673057907813,0.438879907745509
LIOT,RN,0.715617639749595,0.440459731380112
LIOT,SOC,0.64195915993462,0.399232583314354
LR,NI,0.589495892545686,0.391870116475693
LR,RE,0.786051945264389,0.677763824166893
LR,RN,0.703423446184474,0.379732485022517
LR,SOC,0.695645934536706,0.186130438124185
NI,RE,0.78836045488774,0.353235357802626
NI,RN,0.682376159783437,0.659429953651065
NI,SOC,0.678603315285693,0.384796125538884
RE,RN,0.797905600652585,0.141353208168583
RE,SOC,0.793990542447629,0.143334954795987
RN,SOC,0.696521612521265,0.340741927331125
