from,to,connectivite,similarite
DEM,ECOLO,1,1
DEM,GDR-NUPES,1,1
DEM,HOR,0.988662131519274,1
DEM,LFI-NUPES,0.981666666666667,1
DEM,LIOT,1,1
DEM,LR,1,1
DEM,NI,1,1
DEM,RE,0.997358689910195,1
DEM,RN,0.989402697495183,1
DEM,SOC,0.978333333333333,1
ECOLO,GDR-NUPES,1,1
ECOLO,HOR,1,1
ECOLO,LFI-NUPES,1,1
ECOLO,LIOT,1,1
ECOLO,LR,1,1
ECOLO,NI,1,1
ECOLO,RE,1,1
ECOLO,RN,1,1
ECOLO,SOC,1,1
GDR-NUPES,HOR,1,1
GDR-NUPES,LFI-NUPES,1,1
GDR-NUPES,LIOT,1,1
GDR-NUPES,LR,1,1
GDR-NUPES,NI,1,1
GDR-NUPES,RE,1,1
GDR-NUPES,RN,1,1
GDR-NUPES,SOC,1,1
HOR,LFI-NUPES,0.927536231884058,1
HOR,LIOT,1,1
HOR,LR,1,1
HOR,NI,1,1
HOR,RE,0.993150684931507,1
HOR,RN,0.964912280701754,1
HOR,SOC,0.983333333333333,1
LFI-NUPES,LIOT,1,1
LFI-NUPES,LR,1,1
LFI-NUPES,NI,1,1
LFI-NUPES,RE,0.982993197278912,1
LFI-NUPES,RN,0.938271604938272,1
LFI-NUPES,SOC,0.922222222222222,1
LIOT,LR,1,1
LIOT,NI,1,1
LIOT,RE,1,1
LIOT,RN,1,1
LIOT,SOC,1,1
LR,NI,1,1
LR,RE,1,1
LR,RN,1,1
LR,SOC,1,1
NI,RE,1,1
NI,RN,1,1
NI,SOC,1,1
RE,RN,0.992015968063872,1
RE,SOC,0.996376811594203,1
RN,SOC,0.955128205128205,1
