from,to,connectivite,similarite
DEM,ECOLO,1,0.314285714285714
DEM,GDR-NUPES,1,0.74375
DEM,HOR,1,0.988023952095808
DEM,LFI-NUPES,1,0.451022604951561
DEM,LIOT,1,0.50990099009901
DEM,LR,1,0.582405345211581
DEM,NI,1,0.988372093023256
DEM,RE,1,0.95977833392921
DEM,RN,1,0.591961414790997
DEM,SOC,1,0.667638483965015
ECOLO,GDR-NUPES,1,0.545454545454545
ECOLO,HOR,1,0.368421052631579
ECOLO,LFI-NUPES,1,1
ECOLO,LIOT,1,1
ECOLO,LR,1,0.184615384615385
ECOLO,NI,1,0.285714285714286
ECOLO,RE,1,0.307174887892377
ECOLO,RN,1,0
ECOLO,SOC,1,1
GDR-NUPES,HOR,1,0.727272727272727
GDR-NUPES,LFI-NUPES,1,0.675
GDR-NUPES,LIOT,1,0.722222222222222
GDR-NUPES,LR,1,0.318181818181818
GDR-NUPES,NI,1,0.75
GDR-NUPES,RE,1,0.695833333333333
GDR-NUPES,RN,1,0
GDR-NUPES,SOC,1,0.8125
HOR,LFI-NUPES,1,0.486381322957198
HOR,LIOT,1,0.535714285714286
HOR,LR,1,0.582677165354331
HOR,NI,1,1
HOR,RE,1,0.973154362416107
HOR,RN,1,0.565320665083135
HOR,SOC,1,0.67816091954023
LFI-NUPES,LIOT,1,1
LFI-NUPES,LR,1,0.235807860262009
LFI-NUPES,NI,1,0.434782608695652
LFI-NUPES,RE,1,0.42457337883959
LFI-NUPES,RN,1,0
LFI-NUPES,SOC,1,1
LIOT,LR,1,0.254901960784314
LIOT,NI,1,0.5
LIOT,RE,1,0.47626582278481
LIOT,RN,1,0
LIOT,SOC,1,1
LR,NI,1,0.590909090909091
LR,RE,1,0.6002886002886
LR,RN,1,0.710455764075067
LR,SOC,1,0.285714285714286
NI,RE,1,0.971830985915493
NI,RN,1,0.628205128205128
NI,SOC,1,0.666666666666667
RE,RN,1,0.601719197707736
RE,SOC,1,0.634343434343434
RN,SOC,1,0
