from,to,connectivite,similarite
DEM,ECOLO,0.934531137111208,0.163278924844761
DEM,GDR-NUPES,0.926621985412092,0.0681676352465123
DEM,HOR,0.929666995230938,0.941415240571546
DEM,LFI-NUPES,0.920663337389732,0.119714109165652
DEM,LIOT,0.92275390625,0.299673704117064
DEM,LR,0.921190939656493,0.627834362343757
DEM,NI,0.978638867592356,0.364421237677052
DEM,RE,0.946148190998495,0.989945576453451
DEM,RN,0.94752777740616,0.135404531243558
DEM,SOC,0.931977845607583,0.412304772217309
ECOLO,GDR-NUPES,0.868744552620292,0.673509191334635
ECOLO,HOR,0.876531314597352,0.158781381092702
ECOLO,LFI-NUPES,0.876856283041009,0.856805183502311
ECOLO,LIOT,0.833956128747795,0.532982436801881
ECOLO,LR,0.84079858250452,0.367366077215276
ECOLO,NI,0.974984605341748,0.544084817299103
ECOLO,RE,0.910370697308759,0.140088562416235
ECOLO,RN,0.91870233944702,0.630841151053917
ECOLO,SOC,0.860637194470913,0.432999275551239
GDR-NUPES,HOR,0.887021984917777,0.0556526472859138
GDR-NUPES,LFI-NUPES,0.935085792532976,0.968636908865782
GDR-NUPES,LIOT,0.847683556181093,0.51663734459301
GDR-NUPES,LR,0.823906370478277,0.279293090162655
GDR-NUPES,NI,0.983233225108225,0.580154845154845
GDR-NUPES,RE,0.908972483583018,0.0558839816629134
GDR-NUPES,RN,0.927206015032507,0.827007705878975
GDR-NUPES,SOC,0.876230327967996,0.320835324366715
HOR,LFI-NUPES,0.88966310361283,0.107905647253582
HOR,LIOT,0.876478232618583,0.283600204214239
HOR,LR,0.841788926812672,0.632687414726085
HOR,NI,0.977874491763381,0.369030609308387
HOR,RE,0.907375049897483,0.942387274434882
HOR,RN,0.924817903906434,0.138108021503137
HOR,SOC,0.873674495830185,0.468153511491835
LFI-NUPES,LIOT,0.898945578231293,0.571341512795594
LFI-NUPES,LR,0.857083620681653,0.375682378317656
LFI-NUPES,NI,0.971255818255818,0.671052022052022
LFI-NUPES,RE,0.912899856709926,0.102029141439246
LFI-NUPES,RN,0.923305038566847,0.81081061789188
LFI-NUPES,SOC,0.878660011012952,0.449784610814023
LIOT,LR,0.760517998866213,0.371575963718821
LIOT,NI,0.988392857142857,0.471513605442177
LIOT,RE,0.907194560067017,0.294228252048483
LIOT,RN,0.925241420186775,0.548437996935265
LIOT,SOC,0.828901859057501,0.444688407139769
LR,NI,0.977140364424847,0.507020733098319
LR,RE,0.885039153072721,0.62634655944381
LR,RN,0.897147402252384,0.350335052167082
LR,SOC,0.822366248429651,0.43957833231509
NI,RE,0.982374779825438,0.359224574767338
NI,RN,0.97996205990392,0.569717507944252
NI,SOC,0.981540064873398,0.48539130622464
RE,RN,0.939911303330648,0.121139757183484
RE,SOC,0.896981557525868,0.430997885381091
RN,SOC,0.917295335812148,0.340058770494054
