from,to,connectivite,similarite
DEM,ECOLO,0.781366485776758,0.0661030056154145
DEM,GDR-NUPES,0.811714559393316,0.0447798080111169
DEM,HOR,0.817353667588042,0.989157858093944
DEM,LFI-NUPES,0.786279866340232,0.0537426116309872
DEM,LIOT,0.804050257935016,0.157115164878923
DEM,LR,0.785224486696225,0.900706102046115
DEM,NI,0.924539630518369,0.198604454722521
DEM,RE,0.813243013771744,0.994351657180041
DEM,RN,0.816456434717555,0.0900196656982955
DEM,SOC,0.774881214464191,0.0346848555070768
ECOLO,GDR-NUPES,0.781372133943976,0.975503594648953
ECOLO,HOR,0.760364626243251,0.0390661541343973
ECOLO,LFI-NUPES,0.769865917038538,0.971948703190229
ECOLO,LIOT,0.748771848876194,0.532042914962201
ECOLO,LR,0.728967448448719,0.0166559715469234
ECOLO,NI,0.888463397316881,0.552131135530724
ECOLO,RE,0.771708109639407,0.0601435777599724
ECOLO,RN,0.781676066428689,0.65090134916409
ECOLO,SOC,0.722765898856129,0.980894544105946
GDR-NUPES,HOR,0.801093964376447,0.0290212254251151
GDR-NUPES,LFI-NUPES,0.799014038141049,0.98939962602804
GDR-NUPES,LIOT,0.795038142296546,0.537940440233673
GDR-NUPES,LR,0.746877117795225,0.0157719543520583
GDR-NUPES,NI,0.934998797498798,0.563402154044281
GDR-NUPES,RE,0.809952090763522,0.0395939423033373
GDR-NUPES,RN,0.829015985944306,0.779958470099501
GDR-NUPES,SOC,0.752691036261109,0.977564289452799
HOR,LFI-NUPES,0.772608193282236,0.0280882215473351
HOR,LIOT,0.804733290721657,0.151146531746261
HOR,LR,0.776456022525848,0.912309125889512
HOR,NI,0.914250969231636,0.198985718820736
HOR,RE,0.810113553920946,0.994040649157848
HOR,RN,0.801372913659309,0.0877834227819165
HOR,SOC,0.748850222040656,0.0187079854878372
LFI-NUPES,LIOT,0.739940309596695,0.525303286702901
LFI-NUPES,LR,0.722946958634298,0.0156609269443594
LFI-NUPES,NI,0.914930921180921,0.577998859299446
LFI-NUPES,RE,0.772959353193618,0.0466455155551586
LFI-NUPES,RN,0.778644358625268,0.683048526139384
LFI-NUPES,SOC,0.737040990644096,0.95847334674659
LIOT,LR,0.750759401496325,0.151486306929004
LIOT,NI,0.902890442890443,0.462578953726013
LIOT,RE,0.800290430306169,0.155685246115769
LIOT,RN,0.806239746559544,0.424371686270369
LIOT,SOC,0.705620876488049,0.546130186227435
LR,NI,0.894344692952858,0.161316930955901
LR,RE,0.772550797447168,0.900243950637189
LR,RN,0.794516687464957,0.0913785050150014
LR,SOC,0.677978822122322,0.00971787316709675
NI,RE,0.92453027164702,0.197379184403914
NI,RN,0.92940806766285,0.706805974124706
NI,SOC,0.91383148885165,0.562492129639838
RE,RN,0.812455991969813,0.0778590817647533
RE,SOC,0.751850238997911,0.0293231611578158
RN,SOC,0.761861842353271,0.780649008881424
