from,to,connectivite,similarite
DEM,ECOLO,0.799329301947145,0.213514896582697
DEM,GDR-NUPES,0.770326374649998,0.172792743666131
DEM,HOR,0.821023493505192,0.964661263825411
DEM,LFI-NUPES,0.849419495048555,0.162821283670658
DEM,LIOT,0.80223486948217,0.715875306851928
DEM,LR,0.811207107837395,0.8606062303568
DEM,NI,0.959164001752558,0.885705561862936
DEM,RE,0.867130992737443,0.969755199482725
DEM,RN,0.848757542573449,0.571300278574107
DEM,SOC,0.817666473025817,0.171308618594955
ECOLO,GDR-NUPES,0.700633458409396,0.822692185318768
ECOLO,HOR,0.767146932495546,0.20636568720728
ECOLO,LFI-NUPES,0.80851522748962,0.900406636886722
ECOLO,LIOT,0.68814624513903,0.331554639921621
ECOLO,LR,0.731259946577015,0.157268945189555
ECOLO,NI,0.948816678659664,0.120281788769604
ECOLO,RE,0.817525489850851,0.193337391628266
ECOLO,RN,0.794930212306572,0.250920245585469
ECOLO,SOC,0.733424834798322,0.537874123809623
GDR-NUPES,HOR,0.734952533479785,0.167261084421339
GDR-NUPES,LFI-NUPES,0.801491020206612,0.842853904764576
GDR-NUPES,LIOT,0.615685309629914,0.345195635272869
GDR-NUPES,LR,0.661508587279574,0.13898724850961
GDR-NUPES,NI,0.963242456387671,0.10839613257544
GDR-NUPES,RE,0.789423391372094,0.154191377460934
GDR-NUPES,RN,0.750222498537608,0.22414583643257
GDR-NUPES,SOC,0.658826143916521,0.633065713480002
HOR,LFI-NUPES,0.82217536270628,0.152413873964205
HOR,LIOT,0.75646333161349,0.725214810619782
HOR,LR,0.784112212760511,0.859855509158914
HOR,NI,0.9683640967637,0.901412071313437
HOR,RE,0.839855368622604,0.982266798670308
HOR,RN,0.804980663195809,0.579152448498373
HOR,SOC,0.789433068865766,0.17298865780054
LFI-NUPES,LIOT,0.78977512017072,0.355895584851135
LFI-NUPES,LR,0.818621042736382,0.130098285203981
LFI-NUPES,NI,0.97664191471876,0.130917801536621
LFI-NUPES,RE,0.862811985153835,0.141754719827751
LFI-NUPES,RN,0.840098479443369,0.24194152599805
LFI-NUPES,SOC,0.832761063897652,0.548460757966388
LIOT,LR,0.643573612865524,0.662128787396045
LIOT,NI,0.922993530555722,0.780480410031609
LIOT,RE,0.805155381768176,0.713902546973941
LIOT,RN,0.785087361815691,0.610725748361192
LIOT,SOC,0.643133650880157,0.391233749391362
LR,NI,0.941110090075668,0.878627577549124
LR,RE,0.825753785034036,0.875464166504701
LR,RN,0.786456842182287,0.675161123303605
LR,SOC,0.714263073689461,0.123490989658177
NI,RE,0.971003784430187,0.897435484080472
NI,RN,0.955616366902056,0.945561247276719
NI,SOC,0.921925633841429,0.117052844999107
RE,RN,0.862461038723625,0.599787123712477
RE,SOC,0.820746582502325,0.154214673858284
RN,SOC,0.791918164027671,0.193073036753976
