from,to,connectivite,similarite
DEM,ECOLO,0.569359804865477,0.380617042673025
DEM,GDR-NUPES,0.48023879880762,0.28408377637156
DEM,HOR,0.660107971200153,0.924058997269973
DEM,LFI-NUPES,0.573115031537407,0.274139401832189
DEM,LIOT,0.588859407246013,0.432501183016812
DEM,LR,0.667652725551995,0.480237545936514
DEM,NI,0.913263807572001,0.330461022080294
DEM,RE,0.663013127827755,0.931587483894704
DEM,RN,0.717646153157145,0.202553133373918
DEM,SOC,0.62939409352331,0.433254648572953
ECOLO,GDR-NUPES,0.434567485205658,0.854783520372744
ECOLO,HOR,0.549734204790253,0.362278661858271
ECOLO,LFI-NUPES,0.524551537039116,0.872970115764415
ECOLO,LIOT,0.467215180050408,0.638216618939907
ECOLO,LR,0.511908510965087,0.270577798462037
ECOLO,NI,0.76559863611033,0.265769710420409
ECOLO,RE,0.561368381643629,0.342975471386617
ECOLO,RN,0.618805685584796,0.337851900061649
ECOLO,SOC,0.522274521766742,0.899176658112822
GDR-NUPES,HOR,0.466732634620557,0.289831519792542
GDR-NUPES,LFI-NUPES,0.433158139249547,0.923810329244695
GDR-NUPES,LIOT,0.476713235782017,0.596053764526773
GDR-NUPES,LR,0.432676862940346,0.334961008692591
GDR-NUPES,NI,0.582891036232851,0.394441504318661
GDR-NUPES,RE,0.481523344455492,0.248750478723221
GDR-NUPES,RN,0.51633681895589,0.424922836669035
GDR-NUPES,SOC,0.46775448979007,0.816598209093952
HOR,LFI-NUPES,0.568456796907029,0.280127037883668
HOR,LIOT,0.542617426492139,0.441516292280027
HOR,LR,0.607331859902559,0.523549717515593
HOR,NI,0.910263551114543,0.358055435815021
HOR,RE,0.648030427330054,0.925301871719002
HOR,RN,0.695194776127497,0.215410216616604
HOR,SOC,0.596992188013954,0.41752691384187
LFI-NUPES,LIOT,0.473378412500035,0.482905026761102
LFI-NUPES,LR,0.516125385251954,0.19378658466839
LFI-NUPES,NI,0.823064089230303,0.280374223517191
LFI-NUPES,RE,0.572825346237561,0.256963091287251
LFI-NUPES,RN,0.62530158616218,0.352871547016899
LFI-NUPES,SOC,0.558344045415869,0.845753576943223
LIOT,LR,0.477506284050289,0.585941237897773
LIOT,NI,0.760374224251801,0.61782474991128
LIOT,RE,0.565499816893633,0.359759169615305
LIOT,RN,0.647282998423998,0.595497461330051
LIOT,SOC,0.501086370325264,0.602216189836323
LR,NI,0.929911370063222,0.788468948299336
LR,RE,0.619263399870656,0.460013043335064
LR,RN,0.721088262203261,0.567013666206402
LR,SOC,0.519600549963499,0.331745451253846
NI,RE,0.876025086393589,0.286239794218808
NI,RN,0.876988120949298,0.761101901742274
NI,SOC,0.86431138671031,0.338957437542723
RE,RN,0.702225783124458,0.159499026818139
RE,SOC,0.600087018497008,0.395008016585874
RN,SOC,0.671961851772633,0.330878887116496
