from,to,connectivite,similarite
DEM,ECOLO,0.805971754835185,0.167425444441381
DEM,GDR-NUPES,0.802259471206595,0.0913540588272961
DEM,HOR,0.81881858866864,0.950860060237568
DEM,LFI-NUPES,0.802016867728139,0.0984540523842697
DEM,LIOT,0.792707818203572,0.488359266201347
DEM,LR,0.759563176706996,0.506963759067834
DEM,NI,0.850111974152536,0.372165453912466
DEM,RE,0.810512136059169,0.979477733765982
DEM,RN,0.789981376766295,0.141954526076463
DEM,SOC,0.804625574999947,0.178301486927325
ECOLO,GDR-NUPES,0.7672501955886,0.935911686238801
ECOLO,HOR,0.773228146084883,0.159575597717523
ECOLO,LFI-NUPES,0.794891858365288,0.90704092544663
ECOLO,LIOT,0.724008465375713,0.367561251171534
ECOLO,LR,0.672350792681784,0.347150446709127
ECOLO,NI,0.845346280995644,0.320497776679842
ECOLO,RE,0.748671808882768,0.169832752407159
ECOLO,RN,0.719787444324143,0.726714636362094
ECOLO,SOC,0.800057133496792,0.675569024637223
GDR-NUPES,HOR,0.760400697425584,0.0832207742871774
GDR-NUPES,LFI-NUPES,0.792300378696227,0.961302828495656
GDR-NUPES,LIOT,0.698074545993764,0.252187695459061
GDR-NUPES,LR,0.63876912777008,0.262768946891536
GDR-NUPES,NI,0.843651691445809,0.257919857919858
GDR-NUPES,RE,0.736594277362603,0.0817915664771343
GDR-NUPES,RN,0.688792813508229,0.802935236058227
GDR-NUPES,SOC,0.766775795865585,0.471795817099346
HOR,LFI-NUPES,0.758874288170756,0.0897684261337
HOR,LIOT,0.74503333077788,0.506327591382242
HOR,LR,0.697798448499007,0.504365523051306
HOR,NI,0.818579765683129,0.379687780734939
HOR,RE,0.773214067381063,0.964351213233025
HOR,RN,0.747158179414917,0.145325126699287
HOR,SOC,0.74888636960496,0.155540209357415
LFI-NUPES,LIOT,0.718712503447952,0.266680417868541
LFI-NUPES,LR,0.693170902716991,0.280593962543188
LFI-NUPES,NI,0.817016392061056,0.211656190543967
LFI-NUPES,RE,0.748440641038617,0.0879547131628151
LFI-NUPES,RN,0.711341481002819,0.726903167998217
LFI-NUPES,SOC,0.798627077614097,0.53488571183229
LIOT,LR,0.595418916177926,0.482136672932456
LIOT,NI,0.774439709599364,0.490644627782309
LIOT,RE,0.711594718589721,0.493504530764092
LIOT,RN,0.670811762817315,0.377023600919295
LIOT,SOC,0.685647244239443,0.512760357449057
LR,NI,0.692290674768138,0.710918237010664
LR,RE,0.71203906823597,0.488186042255025
LR,RN,0.678281534930122,0.468926512120229
LR,SOC,0.699058313719144,0.449925834223647
NI,RE,0.787228923565026,0.324137559984375
NI,RN,0.772074728185074,0.610820207943579
NI,SOC,0.834093419474978,0.561435591031527
RE,RN,0.756410760517289,0.114098806434007
RE,SOC,0.751209722566168,0.168144160734364
RN,SOC,0.72285456410615,0.497812339154841
