from,to,connectivite,similarite
DEM,ECOLO,0.926289365656178,0.00614524849241006
DEM,GDR-NUPES,0.924688744015312,0.0166339899850047
DEM,HOR,0.945463779290275,0.981918923563174
DEM,LFI-NUPES,0.924044231699686,0.00727460469486736
DEM,LIOT,0.90439277041626,0.0519714157988931
DEM,LR,0.892079717278524,0.13172483304193
DEM,NI,0.971380471380471,0.166651031925096
DEM,RE,0.929649919185217,0.987947385261386
DEM,RN,0.929576514849325,0.0132293897207866
DEM,SOC,0.897425616454743,0.0229900258169818
ECOLO,GDR-NUPES,0.942190206045628,0.988117814247332
ECOLO,HOR,0.957847840476517,0.00219362745098039
ECOLO,LFI-NUPES,0.936330483280454,0.997555665841213
ECOLO,LIOT,0.918741483958875,0.919802152869075
ECOLO,LR,0.926145152463756,0.826408253582167
ECOLO,NI,0.971014492753623,0.839511870801833
ECOLO,RE,0.947715439655931,0.00168528323767651
ECOLO,RN,0.943878602961069,0.991926119117798
ECOLO,SOC,0.919656998306505,0.987267272284488
GDR-NUPES,HOR,0.947580770820207,0.0128576539961517
GDR-NUPES,LFI-NUPES,0.951823798629354,0.991314446870003
GDR-NUPES,LIOT,0.940704327173399,0.955435433821956
GDR-NUPES,LR,0.938103453286102,0.800653606075981
GDR-NUPES,NI,0.996124031007752,0.817888862733254
GDR-NUPES,RE,0.948615586739054,0.0145638147171262
GDR-NUPES,RN,0.955052944215699,0.983873690211718
GDR-NUPES,SOC,0.968214223451965,0.976089731292511
HOR,LFI-NUPES,0.954825167189849,0.00265749511351676
HOR,LIOT,0.939196672435309,0.0575538738222562
HOR,LR,0.923190002098888,0.144290341267282
HOR,NI,0.974358974358974,0.170171558651951
HOR,RE,0.95137839118896,0.985482633296691
HOR,RN,0.948962027436894,0.00754354809952678
HOR,SOC,0.920436883431933,0.0156166036771744
LFI-NUPES,LIOT,0.929831079680817,0.906528646512957
LFI-NUPES,LR,0.905579945426305,0.793136664913552
LFI-NUPES,NI,0.966553287981859,0.800816911568712
LFI-NUPES,RE,0.93841125802785,0.00214249077542129
LFI-NUPES,RN,0.937766972518678,0.994809197625725
LFI-NUPES,SOC,0.923077083589432,0.983173990136346
LIOT,LR,0.853475256275803,0.856564473777589
LIOT,NI,0.951388888888889,0.895668712641752
LIOT,RE,0.916891304842912,0.0473281683914081
LIOT,RN,0.921118996994236,0.900434913185316
LIOT,SOC,0.912940118952777,0.931281594104698
LR,NI,0.959699453551913,0.866394852870263
LR,RE,0.926729840938897,0.129545293261847
LR,RN,0.938577253927717,0.786629176290049
LR,SOC,0.922487412986608,0.792626588238505
NI,RE,0.978325859491779,0.16445118087165
NI,RN,0.972061657032755,0.791727477064097
NI,SOC,0.984972677595628,0.800659155480756
RE,RN,0.951494443627117,0.00636992401165498
RE,SOC,0.933209899619305,0.0153091486718994
RN,SOC,0.938933698484723,0.98257578241334
