from,to,connectivite,similarite
DEM,ECOLO,0.9581589958159,0
DEM,GDR-NUPES,0.95959595959596,0
DEM,HOR,0.968253968253968,1
DEM,LFI-NUPES,0.956540825285338,0.00431665203394791
DEM,LIOT,0.983870967741936,0
DEM,LR,0.962909441233141,0
DEM,NI,1,0
DEM,RE,0.954701834862385,1
DEM,RN,0.95539992628087,0
DEM,SOC,0.966887417218543,0
ECOLO,GDR-NUPES,0.907407407407407,1
ECOLO,HOR,0.929577464788732,0
ECOLO,LFI-NUPES,0.923784494086728,0.993210687691634
ECOLO,LIOT,0.958333333333333,0.866666666666667
ECOLO,LR,0.912420382165605,0.987261146496815
ECOLO,NI,1,1
ECOLO,RE,0.925042589437819,0
ECOLO,RN,0.905529953917051,1
ECOLO,SOC,0.935483870967742,1
GDR-NUPES,HOR,0.969465648854962,0
GDR-NUPES,LFI-NUPES,0.944272445820434,0.995356037151703
GDR-NUPES,LIOT,0.984375,0.6875
GDR-NUPES,LR,0.958955223880597,0.962686567164179
GDR-NUPES,NI,1,1
GDR-NUPES,RE,0.946341463414634,0
GDR-NUPES,RN,0.949860724233983,1
GDR-NUPES,SOC,0.948717948717949,1
HOR,LFI-NUPES,0.963276836158192,0.0025894538606403
HOR,LIOT,1,0
HOR,LR,1,0
HOR,NI,1,0
HOR,RE,0.953054468853446,1
HOR,RN,0.988392338943703,0
HOR,SOC,0.979591836734694,0
LFI-NUPES,LIOT,0.981375358166189,0.764087870105062
LFI-NUPES,LR,0.955945779420826,0.9737112343397
LFI-NUPES,NI,1,1
LFI-NUPES,RE,0.93177882950479,0.00494439955365732
LFI-NUPES,RN,0.94327731092437,0.998327108621226
LFI-NUPES,SOC,0.951983298538622,0.998260264439805
LIOT,LR,1,0.765060240963855
LIOT,NI,1,1
LIOT,RE,0.976950354609929,0
LIOT,RN,0.994239631336406,0.774193548387097
LIOT,SOC,0.98936170212766,0.787234042553192
LR,NI,1,1
LR,RE,0.944430051813472,0
LR,RN,0.986506378802748,0.975956820412169
LR,SOC,0.975663716814159,0.97787610619469
NI,RE,1,0
NI,RN,1,1
NI,SOC,1,1
RE,RN,0.931883913433729,0
RE,SOC,0.945825932504441,0
RN,SOC,0.964941569282137,1
