from,to,connectivite,similarite
DEM,ECOLO,0.609744275080173,0.117745104279125
DEM,GDR-NUPES,0.595335900318928,0.182057431568817
DEM,HOR,0.701991960768238,0.96029465235205
DEM,LFI-NUPES,0.590945517683754,0.111645975437216
DEM,LIOT,0.694410757466395,0.350984857594595
DEM,LR,0.740553542392465,0.605867333294102
DEM,NI,0.920849871044787,0.366874426398033
DEM,RE,0.715261107249917,0.971820471769548
DEM,RN,0.722770553754618,0.113354859769491
DEM,SOC,0.617663248755185,0.126659535395084
ECOLO,GDR-NUPES,0.808493580991809,0.984390230474568
ECOLO,HOR,0.607917028495004,0.14020334907586
ECOLO,LFI-NUPES,0.80122557328996,0.978916253209775
ECOLO,LIOT,0.612238162906612,0.665074540230963
ECOLO,LR,0.660106757662085,0.407255880288734
ECOLO,NI,0.764608674848238,0.478196036721899
ECOLO,RE,0.608191103432051,0.160861863042801
ECOLO,RN,0.61912201982936,0.627878090432643
ECOLO,SOC,0.795429748989572,0.981961062547212
GDR-NUPES,HOR,0.573914024826367,0.235384169172471
GDR-NUPES,LFI-NUPES,0.80749284807373,0.993303634368852
GDR-NUPES,LIOT,0.575409557762499,0.688095931845932
GDR-NUPES,LR,0.633889066004256,0.515882821573359
GDR-NUPES,NI,0.767150706436421,0.61303700267986
GDR-NUPES,RE,0.599808681051544,0.260786353892531
GDR-NUPES,RN,0.602035044384601,0.645489607739547
GDR-NUPES,SOC,0.827703731482285,0.98705107209506
HOR,LFI-NUPES,0.606591155348197,0.14210351856965
HOR,LIOT,0.649250104208066,0.427703994943882
HOR,LR,0.724747968403849,0.672066920266541
HOR,NI,0.919733797660295,0.452845659435283
HOR,RE,0.715033202931919,0.974564175660153
HOR,RN,0.724732677833497,0.113149277120153
HOR,SOC,0.588188098656024,0.18590116465373
LFI-NUPES,LIOT,0.607050021133993,0.637106746096843
LFI-NUPES,LR,0.665302755807107,0.429466631561107
LFI-NUPES,NI,0.818941951929316,0.545409136150727
LFI-NUPES,RE,0.605470641957501,0.159980966380437
LFI-NUPES,RN,0.613310271509974,0.633898904203338
LFI-NUPES,SOC,0.777045720079955,0.995749833255899
LIOT,LR,0.694192772516814,0.701886825321209
LIOT,NI,0.98961038961039,0.811278561011181
LIOT,RE,0.723380310023859,0.355916111635891
LIOT,RN,0.726684502540715,0.740117134738504
LIOT,SOC,0.632462376231726,0.74600438285661
LR,NI,0.972816805246473,0.795380523711277
LR,RE,0.770973438342717,0.663868631643832
LR,RN,0.77965663416278,0.534141359078546
LR,SOC,0.670578661766114,0.396949735763569
NI,RE,0.93557667705584,0.435932531812124
NI,RN,0.931556496841344,0.701822378701741
NI,SOC,0.804572460892126,0.571966555544774
RE,RN,0.740559063636343,0.119678051529163
RE,SOC,0.634874196677269,0.161308192738585
RN,SOC,0.633310806712572,0.602282123652372
